prompt,capability,reference_type,reference,grader,difficulty
"Please answer with the letter of the correct answer.

A single line is seen in the 31P spectrum of a solution of sodium phosphate. The 31P chemical shifts of H2PO4‾ and HPO42– are 3.42 ppm and 5.82 ppm respectively. What is the chemical shift when the pH of the solution equals the pKa of H2PO4‾?
A) 3.41 ppm
B) 4.33 ppm
C) 3.98 ppm
D) 4.62 ppm
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,1.0000
"Please answer with the letter of the correct answer.

Under which conditions will a real gas most closely behave as an ideal gas?
A) High volume and high temperature
B) High temperature and low pressure
C) High temperature and high pressure
D) Low temperature and low pressure
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.5455
"Instructions: You will be presented with an audit question and four options A through D. Your role is to answer the question and select the option that is closest to your conclusion. For each question you must select one of the following answers: 'A', 'B', 'C', 'D'. Do not explain. Do not include the number in your response.
For which of the following objectives would auditors be least likely to use analytical procedures near the end of the audit? A. Evaluating the adequacy of evidence gathered in response to unexpected relationships among account balances. B. Identifying unusual or unexpected account balances or relationships among account balances that were not previously identified during the audit. C. Obtaining evidence about assertions related to account balances or classes of transactions. D. Evaluating the adequacy of evidence gathered in response to unexpected account balances. For each question you must select one of the following answers: 'A', 'B', 'C', 'D'.",general,none,,,0.3636
"Please answer with the letter of the correct answer.

The widely adored Egyptian goddess Hathor was depicted as which of the following?
A) Cheetah
B) Serpent
C) Eagle
D) Cow
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.2727
"Please answer with the letter of the correct answer.

 Select the best translation into predicate logic. All jellybeans are sweeter than all fruit. (Fx: x is a fruit; Jx: x is a jellybean; Sxy: x is sweeter than y)
A) (∀x)(∀y)[(Fx • Jy) • Sxy]
B) (∀x)[Fx ⊃ (∀y)(Jy ⊃ Sxy)]
C) (∀x)(∀y)[Sxy ⊃ (Fy • Jx)]
D) (∀x)[Jx ⊃ (∀y)(Fy ⊃ Sxy)]
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.6364
"Please answer with the letter of the correct answer.

Which of the following is the direct energy source that allows ATP synthase to produce ATP in mitochondria?
A) The energy of electrons passing along the electron transport chain
B) H+ ions flowing down a gradient across the mitochondrial inner membrane
C) NADH diffusing from the mitochondrial intermembrane space to the matrix
D) The reduction of NAD+ during the conversion of pyruvate to acetyl-CoA
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.2727
"Please answer with the letter of the correct answer.

Before a federal court may address a case, it has to be justiciable, i.e., involve a case or controversy. Which of the following is not an additional limitation on federal court jurisdiction?
A) It has to result in an advisory opinion
B) The issue has to be ripe
C) A person must have a concrete stake in the outcome.
D) The issue can't be moot
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.3636
"You are an assistant who guesses the exact age using the chinese animal zodiac signs and age zones of the zodiac. A user wishing to obtain the subject's exact age provides the zodiac animal zodiac and the estimated age range of the subject, resulting in the year of birth. Answer only the 4-digit year of birth and do not provide any other explanation. If the current year, zodiac sign, and approximate age range are provided, please translate and print only the input without additional sentences.
2024, goat, 20s",general,none,,,0.9091
"A very active Randy injured their elbow playing basketball against Lawrence, so _ said sorry.
A) Lawrence
B) Randy
Print only a single choice  from ""A"" or ""B"" without explanation. Answer:",general,none,,,0.4545
"Please answer with the letter of the correct answer.

The perspective that development is embedded in history means that
A) Development in any particular areas (e.g., social) is tied to development in other areas (e.g., cognitive)
B) Sociocultural conditions must always be considered
C) Change can always occur regardless of age
D) Some characteristics change with age while others do not
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.2727
"Please answer with the letter of the correct answer.

Calculate the spin angular momentum of 43Ca. [I = 7⁄2]
A) 4.185 x 10^-34 J s
B) 2.166 x 10^-34 J s
C) 5.493 x 10^-34 J s
D) 3.691 x 10^-34 J s
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.9091
"Please answer with the letter of the correct answer.

Which of the following statements about protein synthesis is correct?

A) Both strands of DNA are transcribed to form mRNA.
B) All the information in DNA codes for proteins
C) The RNA formed by transcription of DNA undergoes splicing and further modifications to form mRNA.
D) The mRNA formed by transcription of a region of DNA only contains information for the protein to be synthesised.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.5455
"Please answer with the letter of the correct answer.

This question refers to the following information.
""MAHATMA GANDHI'S MESSAGE.
REMAIN NON-VIOLENT
The following message was sent by Mahatma Gandhi from Waltair:—
Maulana Mohamed AH was arrested at Waltair under sections 107 and 108 to be called upon to give security, to be of good behaviour for one year. The place and date of trial is unknown.
The Begum Saheba and Mr. Hayat were permitted to see him after arrest.
He and I were going to address a meeting outside the station. He was arrested. I continued going to the meeting and addressed them. There is no cause for sorrow, but every cause for congratulation. There should be no hartal. Perfect peace and calmness should be observed. I regard the arrest as a prelude to Swaraj and the redress of the Khilafat and the Punjab wrongs, if we can remain non-violent. Retain Hindu-Muslim Unity despite the madness of some Moplahs, and fulfil the Swadeshi programme.
I hope every Indian, man or woman, will completely boycott foreign cloth and take up spinning or weaving during every spare minute.
By striving like the Maulana, be insistent on religious and national rights.
Let us earn imprisonment. I am conscious of the Maulana's innocence and I am sure the imprisonment of the innocent will enable the nation to reach the cherished goal.""
Mohandas Gandhi, The Pilgrims' March, 1921
Which of the following historical developments from the period 1450–1750 C.E. most inspired the instructions indicated in the fifth paragraph to boycott foreign cloth?
A) The African slave trade
B) The conquest of India by rival Muslim empires
C) The importation of food crops from the New World
D) The development of joint-stock companies
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.8182
"Please answer with the letter of the correct answer.

An integer c is a common divisor of two integers x and y if and only if c is a divisor of x and c is a divisor of y. Which of the following sets of integers could possibly be the set of all common divisors of two integers?
A) {-6, -3, -2, -1, 0, 1, 2, 3, 6}
B) {-6, -3, -2, -1, 1, 2, 3, 6}
C) {-6,-2, -1, 1, 2, 6}
D) {-6, -2, -1, 0, 1, 2, 6}
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.8182
"Please answer with the letter of the correct answer.

If the price of a product decreases with the price of a substitute product remaining constant such that the consumer buys more of this product, this is called the
A) supply effect.
B) marginal effect.
C) income effect.
D) substitution effect.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.2727
"Please answer with the letter of the correct answer.

Performance enhancing synthetic steroids are based on the structure of the hormone:
A) aldosterone.
B) progesterone.
C) cortisol.
D) testosterone.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.3636
"You will be presented with one sentence of the Chinese Tang poetry to read. Answer who is the author, and strictly only contain a single word and in the same language
渭城朝雨浥轻尘，客舍青青柳色新。",general,none,,,0.7273
"Please answer with the letter of the correct answer.

High entropy means that the partitions in classification are
A) useful
B) pure
C) not pure
D) useless
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.3636
"Please answer with the letter of the correct answer.

Which of the following best describes the Golgi tendon organ?
A) Proprioceptive motor receptor found within main muscle body.
B) Proprioceptive sensory receptor found at the junction between muscle and tendon.
C) Proprioceptive sensory receptor found within main muscle body.
D) Proprioceptive motor receptor found at the junction between muscle and tendon.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.2727
"Please answer with the letter of the correct answer.

The process of identifying publics who are involved and affected by a situation central to an organization is called a(n)
A) communication audit
B) situation interview
C) stakeholder analysis
D) exploratory survey
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.2727
